frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,55.0,9.0,6,,0,
0,2,car,2,OFF,unknown,,,40.0,7.0,6,,0,
0,3,car,2,OFF,unknown,,,16.0,7.0,6,,0,
0,4,motorcycle,3,OFF,unknown,,,46.0,6.0,6,,0,
0,5,car,2,OFF,unknown,,,33.0,17.0,6,,0,
0,6,car,2,OFF,unknown,,,9.0,,6,,0,
1,1,car,2,OFF,unknown,,,54.0,9.0,6,,0,
1,2,car,2,OFF,unknown,,,39.0,8.0,6,,0,
1,3,car,2,OFF,unknown,,,16.0,7.0,6,,0,
1,4,motorcycle,3,OFF,unknown,,,45.0,6.0,6,,0,
1,5,car,2,OFF,unknown,,,31.0,15.0,6,,0,
1,6,car,2,OFF,unknown,,,9.0,,6,,0,
2,1,car,2,OFF,unknown,,,53.0,9.0,6,,0,
2,3,car,2,OFF,unknown,,,16.0,8.0,6,,0,
2,2,car,2,OFF,unknown,,,38.0,7.0,6,,0,
2,5,car,2,OFF,unknown,,,31.0,15.0,6,,0,
2,4,motorcycle,3,OFF,unknown,,,44.0,6.0,6,,0,
2,6,car,2,OFF,unknown,,,8.0,,6,,0,
3,1,car,2,OFF,unknown,,,53.0,9.0,6,,0,
3,5,car,2,OFF,unknown,,,30.0,14.0,6,,0,
3,2,car,2,OFF,unknown,,,38.0,8.0,6,,0,
3,3,car,2,OFF,unknown,,,16.0,8.0,6,,0,
3,4,motorcycle,3,OFF,unknown,,,44.0,6.0,6,,0,
3,6,car,2,OFF,unknown,,,8.0,,6,,0,
4,1,car,2,OFF,unknown,,,52.0,9.0,6,,0,
4,5,car,2,OFF,unknown,,,29.0,13.0,6,,0,
4,3,car,2,OFF,unknown,,,16.0,8.0,6,,0,
4,2,car,2,OFF,unknown,,,37.0,8.0,6,,0,
4,4,motorcycle,3,OFF,unknown,,,43.0,6.0,6,,0,
4,6,car,2,OFF,unknown,,,8.0,,6,,0,
5,1,car,2,OFF,unknown,,,51.0,9.0,7,,0,
5,5,car,2,OFF,unknown,,,28.0,12.0,7,,0,
5,2,car,2,OFF,unknown,,,37.0,9.0,7,,0,
5,3,car,2,OFF,unknown,,,16.0,8.0,7,,0,
5,4,motorcycle,3,OFF,unknown,,,42.0,5.0,7,,0,
5,6,car,2,OFF,unknown,,,8.0,,7,,0,
5,9,motorcycle,3,OFF,unknown,,,55.0,4.0,7,,0,
6,1,car,2,OFF,unknown,,,51.0,10.0,7,,0,
6,5,car,2,OFF,unknown,,,28.0,12.0,7,,0,
6,2,car,2,OFF,unknown,,,37.0,9.0,7,,0,
